
Dataset      | Target FPR   | # of Runs  | Avg Actual FPR 
-------------+--------------+------------+-----------------
000006945    | 0.0001       | 3          | 0.000100
000006945    | 0.001        | 3          | 0.001011
000006945    | 0.01         | 3          | 0.009966
000006945    | 0.1          | 3          | 0.102452
000006945    | 0.25         | 3          | 0.269857
000006945    | 0.5          | 3          | 0.562960
000006945    | 0.75         | 3          | 0.811901
000009045    | 0.0001       | 3          | 0.000098
000009045    | 0.001        | 3          | 0.001022
000009045    | 0.01         | 3          | 0.010115
000009045    | 0.1          | 3          | 0.102626
000009045    | 0.25         | 3          | 0.270211
000009045    | 0.5          | 3          | 0.562855
000009045    | 0.75         | 3          | 0.811335
data1        | 0.0001       | 3          | 0.000000
data1        | 0.001        | 3          | 0.002000
data1        | 0.01         | 3          | 0.006000
data1        | 0.1          | 3          | 0.088000
data1        | 0.25         | 3          | 0.298000
data1        | 0.5          | 3          | 0.528000
data1        | 0.75         | 3          | 0.814000
data2        | 0.0001       | 3          | 0.000000
data2        | 0.001        | 3          | 0.001600
data2        | 0.01         | 3          | 0.009600
data2        | 0.1          | 3          | 0.107000
data2        | 0.25         | 3          | 0.267800
data2        | 0.5          | 3          | 0.565600
data2        | 0.75         | 3          | 0.806200
