
Dataset      | Target FPR   | # of Runs  | Avg Actual FPR 
-------------+--------------+------------+-----------------
000006945    | 0.0001       | 3          | 0.000061
000006945    | 0.001        | 3          | 0.000984
000006945    | 0.01         | 3          | 0.007799
000006945    | 0.1          | 3          | 0.055073
000006945    | 0.25         | 3          | 0.249870
000006945    | 0.5          | 3          | 0.499928
000006945    | 0.75         | 3          | 0.499934
000009045    | 0.0001       | 3          | 0.000058
000009045    | 0.001        | 3          | 0.000979
000009045    | 0.01         | 3          | 0.007781
000009045    | 0.1          | 3          | 0.062398
000009045    | 0.25         | 3          | 0.250190
000009045    | 0.5          | 3          | 0.499936
000009045    | 0.75         | 3          | 0.500015
data1        | 0.0001       | 3          | 0.000000
data1        | 0.001        | 3          | 0.000667
data1        | 0.01         | 3          | 0.008667
data1        | 0.1          | 3          | 0.061333
data1        | 0.25         | 3          | 0.274667
data1        | 0.5          | 3          | 0.486000
data1        | 0.75         | 3          | 0.503333
data2        | 0.0001       | 3          | 0.000000
data2        | 0.001        | 3          | 0.001067
data2        | 0.01         | 3          | 0.009200
data2        | 0.1          | 3          | 0.064800
data2        | 0.25         | 3          | 0.245800
data2        | 0.5          | 3          | 0.497333
data2        | 0.75         | 3          | 0.497867
